"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.6191511990888","72.675261374898","72.7097654674446","72.6617952559554","72.6529621117568","72.7462382605665","72.7578866575769","72.7159167581552","72.6800736350544","72.6462685404351","72.6204959057867","72.6201146215239","72.6716280700098","72.7274492501557","72.7806868911379","72.8516786632426","72.7385330128322","72.5628478319432","72.3934041274932","72.0333920347346","71.4048205821623","71.5032939644137","71.3550627944437","71.3767322294177","71.3013934684047","71.4739837740138","71.5194999148308","71.5886189490459","71.3618274716236","71.3909000508013","70.3391175431311","70.8634256947225","",
"Afghanistan","AFG","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.082","48.079","48.067","48.033","47.986","47.943","47.884","47.844","47.828","47.83","47.841","47.88","47.942","48.017","48.099","48.183","48.12","48.083","48.054","48.017","47.988","48.024","48.08","48.176","48.268","48.358","48.449","48.541","48.636","48.743","42.609","","",
"Africa Western and Central","AFW","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.6128404616662","66.5751469897251","66.4911379291682","66.3811554085388","66.2486571533649","66.118997328846","66.0454228402516","65.9627307688783","65.8782561961079","65.7862203388375","65.6993397168404","65.6613242292069","65.6331440231718","65.5654555913172","65.5235075403854","65.4363800933714","65.3717449228763","65.2829161165246","65.0939179498346","64.8912775544143","64.6750846833714","64.5123512710221","63.0492352938793","61.5491964205915","61.4986400259062","61.6559474050519","61.9832036632044","61.9790451046171","62.2663962686061","62.567514192062","61.8347033231332","62.034391291263","",
"Angola","AGO","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.813","77.837","77.831","77.767","77.756","77.764","77.795","77.799","77.785","77.756","77.723","77.724","77.738","77.72","77.721","77.735","77.773","77.813","77.843","77.84","77.844","77.835","77.863","77.871","77.868","77.845","77.816","77.783","77.735","77.68","76.932","76.937","",
"Albania","ALB","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.995","69.85","70.602","69.869","69.276","68.34","67.767","68.838","68.283","67.484","67.145","66.74","66.668","65.781","64.881","63.956","63.001","62.022","61.024","63.439","63.848","68.617","64.927","60.254","61.926","64.775","66.911","67.665","69.035","70.373","66.751","69.031","",
"Andorra","AND","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.1431239728501","49.2204500511839","49.4705214023803","49.7289058491821","49.9028888021403","49.6226208073528","49.4444610169847","49.2512464312171","49.0270680339461","49.465258585617","49.2196153375295","48.7427309585578","48.176849508731","48.3815648554146","48.5657220866634","48.741140016138","48.9530631192707","49.2126104529628","49.2146691695173","49.3153830226669","49.7931744773935","49.8165075781856","49.822129934929","50.1370551519907","49.8964144871638","49.8692203742454","49.8853662273843","49.1847736713323","48.893259764033","48.8432391123606","47.8270164338649","47.9252750670739","",
"United Arab Emirates","ARE","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.597","73.899","74.244","74.801","75.206","75.63","75.714","75.274","74.939","74.778","74.833","75.123","75.637","76.34","77.176","77.619","77.309","76.795","76.66","77.068","77.829","78.657","79.367","79.981","80.532","81.054","81.627","82.246","82.864","83.384","83.201","82.532","",
"Argentina","ARG","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.34","66.388","67.296","68.231","68.876","68.41","69.006","69.903","70.276","69.723","69.51","68.813","67.194","68.182","69.193","68.53","68.908","68.372","67.822","68.175","67.626","68.216","68.137","67.737","67.001","66.813","66.619","66.423","67.385","68.081","63.66","68.699","",
